DATAH	Record	Date	Time	INPUT3	CHK	
DATA	0000099	2023-11-01	12:45:42	128.00	 92
DATA	0000100	2023-11-01	12:45:42	126.39	 85
DATA	0000101	2023-11-01	12:45:42	126.39	 86
DATA	0000102	2023-11-01	12:45:42	125.69	 89
DATA	0000103	2023-11-01	12:45:42	123.19	 83
DATA	0000104	2023-11-01	12:45:42	118.39	 90
DATA	0000105	2023-11-01	12:45:42	112.38	 84
DATA	0000106	2023-11-01	12:45:42	105.55	 86
DATA	0000107	2023-11-01	12:45:42	100.75	 84
DATA	0000108	2023-11-01	12:45:42	95.389	106
DATA	0000109	2023-11-01	12:45:42	92.279	102
DATA	0000110	2023-11-01	12:45:42	91.403	 82
DATA	0000111	2023-11-01	12:45:42	89.879	107
DATA	0000112	2023-11-01	12:45:42	89.170	 92
DATA	0000113	2023-11-01	12:45:42	90.131	 82
DATA	0000114	2023-11-01	12:45:42	92.056	 91
DATA	0000115	2023-11-01	12:45:42	92.142	 88
DATA	0000116	2023-11-01	12:45:42	92.018	 91
DATA	0000117	2023-11-01	12:45:42	91.775	101
DATA	0000118	2023-11-01	12:45:42	90.595	101
DATA	0000119	2023-11-01	12:45:42	90.512	 91
DATA	0000120	2023-11-01	12:45:42	88.787	104
DATA	0000121	2023-11-01	12:45:42	87.281	 93
DATA	0000122	2023-11-01	12:45:42	82.643	 91
DATA	0000123	2023-11-01	12:45:42	78.678	105
DATA	0000124	2023-11-01	12:45:42	77.543	 96
DATA	0000125	2023-11-01	12:45:42	78.293	100
DATA	0000126	2023-11-01	12:45:42	81.407	 92
DATA	0000127	2023-11-01	12:45:42	84.764	102
DATA	0000128	2023-11-01	12:45:42	94.290	 98
DATA	0000129	2023-11-01	12:45:42	97.859	113
DATA	0000130	2023-11-01	12:45:42	100.53	 76
DATA	0000131	2023-11-01	12:45:42	101.85	 83
DATA	0000132	2023-11-01	12:45:42	102.33	 78
DATA	0000133	2023-11-01	12:45:42	103.29	 85
DATA	0000134	2023-11-01	12:45:42	102.46	 84
DATA	0000135	2023-11-01	12:45:42	105.63	 87
DATA	0000136	2023-11-01	12:45:42	107.21	 84
DATA	0000137	2023-11-01	12:45:42	107.71	 90
DATA	0000138	2023-11-01	12:45:42	108.98	101
DATA	0000139	2023-11-01	12:45:42	108.73	 95
DATA	0000140	2023-11-01	12:45:42	108.64	 87
DATA	0000141	2023-11-01	12:45:42	109.37	 89
DATA	0000142	2023-11-01	12:45:42	109.62	 88
DATA	0000143	2023-11-01	12:45:42	110.37	 83
DATA	0000144	2023-11-01	12:45:42	110.50	 79
DATA	0000145	2023-11-01	12:45:42	111.61	 83
DATA	0000146	2023-11-01	12:45:42	116.78	 97
DATA	0000147	2023-11-01	12:45:42	117.61	 91
DATA	0000148	2023-11-01	12:45:42	115.18	 92
DATA	0000149	2023-11-01	12:45:42	109.53	 95
DATA	0000150	2023-11-01	12:45:42	108.05	 83
DATA	0000151	2023-11-01	12:45:42	102.33	 79
DATA	0000152	2023-11-01	12:45:42	99.595	108
DATA	0000153	2023-11-01	12:45:42	98.217	 99
DATA	0000154	2023-11-01	12:45:42	93.716	 99
DATA	0000155	2023-11-01	12:45:42	90.417	 95
DATA	0000156	2023-11-01	12:45:42	92.351	 95
DATA	0000157	2023-11-01	12:45:42	88.454	105
DATA	0000158	2023-11-01	12:45:42	87.790	108
DATA	0000159	2023-11-01	12:45:42	87.342	102
DATA	0000160	2023-11-01	12:45:42	86.072	 93
DATA	0000161	2023-11-01	12:45:42	87.357	101
DATA	0000162	2023-11-01	12:45:42	86.527	100
DATA	0000163	2023-11-01	12:45:42	83.593	101
DATA	0000164	2023-11-01	12:45:42	81.310	 87
DATA	0000165	2023-11-01	12:45:42	79.004	 95
DATA	0000166	2023-11-01	12:45:42	78.137	102
DATA	0000167	2023-11-01	12:45:42	76.906	105
DATA	0000168	2023-11-01	12:45:42	76.987	115
DATA	0000169	2023-11-01	12:45:42	77.966	114
DATA	0000170	2023-11-01	12:45:42	78.108	 95
DATA	0000171	2023-11-01	12:45:42	79.015	 94
DATA	0000172	2023-11-01	12:45:42	79.295	105
DATA	0000173	2023-11-01	12:45:42	78.583	105
DATA	0000174	2023-11-01	12:45:42	78.252	 99
DATA	0000175	2023-11-01	12:45:42	77.545	104
DATA	0000176	2023-11-01	12:45:42	77.543	103
DATA	0000177	2023-11-01	12:45:42	77.547	108
DATA	0000178	2023-11-01	12:45:42	76.762	107
DATA	0000179	2023-11-01	12:45:42	75.892	111
DATA	0000180	2023-11-01	12:45:42	75.237	 96
DATA	0000181	2023-11-01	12:45:42	74.107	 92
DATA	0000182	2023-11-01	12:45:42	72.878	106
DATA	0000183	2023-11-01	12:45:42	72.853	100
DATA	0000184	2023-11-01	12:45:42	73.240	 92
DATA	0000185	2023-11-01	12:45:42	73.634	100
DATA	0000186	2023-11-01	12:45:42	73.078	103
DATA	0000187	2023-11-01	12:45:42	71.819	105
DATA	0000188	2023-11-01	12:45:42	70.502	 94
DATA	0000189	2023-11-01	12:45:42	69.770	110
DATA	0000190	2023-11-01	12:45:42	67.818	103
DATA	0000191	2023-11-01	12:45:42	65.871	101
DATA	0000192	2023-11-01	12:45:42	63.973	103
DATA	0000193	2023-11-01	12:45:42	62.680	 98
DATA	0000194	2023-11-01	12:45:42	61.464	 98
DATA	0000195	2023-11-01	12:45:42	60.077	 98
DATA	0000196	2023-11-01	12:45:42	59.163	103
DATA	0000197	2023-11-01	12:45:42	58.445	106
DATA	0000198	2023-11-01	12:45:42	58.346	107
DATA	0000199	2023-11-01	12:45:42	58.022	 99
DATA	0000200	2023-11-01	12:45:42	57.283	 90
DATA	0000201	2023-11-01	12:45:42	57.063	 87
DATA	0000202	2023-11-01	12:45:42	56.903	 90
DATA	0000203	2023-11-01	12:45:42	56.715	 92
DATA	0000204	2023-11-01	12:45:42	55.813	 91
DATA	0000205	2023-11-01	12:45:42	55.138	 92
DATA	0000206	2023-11-01	12:45:42	53.728	 96
DATA	0000207	2023-11-01	12:45:42	53.463	 93
DATA	0000208	2023-11-01	12:45:42	52.465	 95
DATA	0000209	2023-11-01	12:45:42	51.205	 87
DATA	0000210	2023-11-01	12:45:42	50.633	 83
DATA	0000211	2023-11-01	12:45:42	50.468	 90
DATA	0000212	2023-11-01	12:45:42	49.930	 93
DATA	0000213	2023-11-01	12:45:42	49.602	 90
DATA	0000214	2023-11-01	12:45:42	48.969	106
DATA	0000215	2023-11-01	12:45:42	47.910	 92
DATA	0000216	2023-11-01	12:45:42	47.155	 94
DATA	0000217	2023-11-01	12:45:42	45.895	104
DATA	0000218	2023-11-01	12:45:42	44.736	 98
DATA	0000219	2023-11-01	12:45:42	44.496	102
DATA	0000220	2023-11-01	12:45:42	44.235	 85
DATA	0000221	2023-11-01	12:45:42	43.878	 98
DATA	0000222	2023-11-01	12:45:42	43.603	 85
DATA	0000223	2023-11-01	12:45:42	43.116	 85
DATA	0000224	2023-11-01	12:45:42	42.378	 95
DATA	0000225	2023-11-01	12:45:42	41.902	 88
DATA	0000226	2023-11-01	12:45:42	41.294	 93
DATA	0000227	2023-11-01	12:45:42	40.642	 90
DATA	0000228	2023-11-01	12:45:42	39.512	 95
DATA	0000229	2023-11-01	12:45:42	38.955	106
DATA	0000230	2023-11-01	12:45:42	38.483	 94
DATA	0000231	2023-11-01	12:45:42	37.795	100
DATA	0000232	2023-11-01	12:45:42	36.918	 97
DATA	0000233	2023-11-01	12:45:42	35.708	 94
DATA	0000234	2023-11-01	12:45:42	34.482	 93
DATA	0000235	2023-11-01	12:45:42	33.166	 92
DATA	0000236	2023-11-01	12:45:42	31.928	 97
DATA	0000237	2023-11-01	12:45:42	30.407	 89
DATA	0000238	2023-11-01	12:45:42	29.363	 99
DATA	0000239	2023-11-01	12:45:42	28.485	104
DATA	0000240	2023-11-01	12:45:42	27.829	 97
DATA	0000241	2023-11-01	12:45:42	27.222	 85
DATA	0000242	2023-11-01	12:45:42	26.456	 94
DATA	0000243	2023-11-01	12:45:42	26.222	 86
DATA	0000244	2023-11-01	12:45:42	25.976	102
DATA	0000245	2023-11-01	12:45:42	25.738	 99
DATA	0000246	2023-11-01	12:45:42	25.241	 89
DATA	0000247	2023-11-01	12:45:42	24.314	 90
DATA	0000248	2023-11-01	12:45:42	23.352	 92
DATA	0000249	2023-11-01	12:45:42	22.454	 95
DATA	0000250	2023-11-01	12:45:42	21.370	 83
DATA	0000251	2023-11-01	12:45:42	20.216	 82
DATA	0000252	2023-11-01	12:45:42	19.188	 99
DATA	0000253	2023-11-01	12:45:42	18.046	 92
DATA	0000254	2023-11-01	12:45:42	16.907	 97
DATA	0000255	2023-11-01	12:45:42	15.696	102
DATA	0000256	2023-11-01	12:45:42	14.570	 93
DATA	0000257	2023-11-01	12:45:42	13.572	 95
DATA	0000258	2023-11-01	12:45:42	12.609	 96
DATA	0000259	2023-11-01	12:45:42	11.616	 94
DATA	0000260	2023-11-01	12:45:42	10.711	 81
DATA	0000261	2023-11-01	12:45:42	9.9047	101
DATA	0000262	2023-11-01	12:45:42	9.1554	 97
DATA	0000263	2023-11-01	12:45:42	8.4007	 93
DATA	0000264	2023-11-01	12:45:42	7.6426	100
DATA	0000265	2023-11-01	12:45:42	6.8645	105
DATA	0000266	2023-11-01	12:45:42	6.1264	 96
DATA	0000267	2023-11-01	12:45:42	5.4635	101
DATA	0000268	2023-11-01	12:45:42	4.9342	101
DATA	0000269	2023-11-01	12:45:42	4.4159	103
DATA	0000270	2023-11-01	12:45:42	3.9568	103
DATA	0000271	2023-11-01	12:45:42	3.5828	 99
DATA	0000272	2023-11-01	12:45:42	3.1537	 93
DATA	0000273	2023-11-01	12:45:42	2.7790	100
DATA	0000274	2023-11-01	12:45:42	2.3902	 92
DATA	0000275	2023-11-01	12:45:42	2.0650	 90
DATA	0000276	2023-11-01	12:45:42	1.7870	101
DATA	0000277	2023-11-01	12:45:42	1.5283	 98
DATA	0000278	2023-11-01	12:45:42	1.3153	 93
DATA	0000279	2023-11-01	12:45:42	1.1315	 92
DATA	0000280	2023-11-01	12:45:42	0.96401	141
DATA	0000281	2023-11-01	12:45:42	0.79717	153
DATA	0000282	2023-11-01	12:45:42	0.65487	153
DATA	0000283	2023-11-01	12:45:42	0.55039	146
DATA	0000284	2023-11-01	12:45:42	0.44705	145
DATA	0000285	2023-11-01	12:45:42	0.37567	154
DATA	0000286	2023-11-01	12:45:42	0.27750	148
DATA	0000287	2023-11-01	12:45:42	0.20905	144
DATA	0000288	2023-11-01	12:45:42	0.19600	145
DATA	0000289	2023-11-01	12:45:42	0.12935	150
DATA	0000290	2023-11-01	12:45:42	0.12777	146
DATA	0000291	2023-11-01	12:45:42	0.068107	193
DATA	0000292	2023-11-01	12:45:42	0.059326	197
DATA	0000293	2023-11-01	12:45:42	0.064730	193
DATA	0000294	2023-11-01	12:45:42	0.022625	191
DATA	0000295	2023-11-01	12:45:42	0.022625	192
DATA	0000296	2023-11-01	12:45:42	0.0086657	  0
DATA	0000297	2023-11-01	12:45:42	0.00033493	 39
DATA	0000298	2023-11-01	12:45:42	0.0000	 82
DATA	0000299	2023-11-01	12:45:42	0.038612	199
DATA	0000300	2023-11-01	12:45:42	0.012043	172
DATA	0000301	2023-11-01	12:45:42	0.0000	 67
DATA	0000302	2023-11-01	12:45:42	0.00033493	 26
DATA	0000303	2023-11-01	12:45:42	0.031407	180
DATA	0000304	2023-11-01	12:45:42	0.0000	 70
DATA	0000305	2023-11-01	12:45:42	0.0000	 71
DATA	0000306	2023-11-01	12:45:42	0.0000	 72
DATA	0000307	2023-11-01	12:45:42	0.0000	 73
DATA	0000308	2023-11-01	12:45:42	0.029380	192
DATA	0000309	2023-11-01	12:45:42	0.024202	181
DATA	0000310	2023-11-01	12:45:42	0.015420	175
DATA	0000311	2023-11-01	12:45:42	0.010017	173
DATA	0000312	2023-11-01	12:45:42	0.0000	 69
DATA	0000313	2023-11-01	12:45:42	0.0000	 70
DATA	0000314	2023-11-01	12:45:42	0.0000	 71
DATA	0000315	2023-11-01	12:45:42	0.0000	 72
DATA	0000316	2023-11-01	12:45:42	0.0000	 73
DATA	0000317	2023-11-01	12:45:42	0.0000	 74
DATA	0000318	2023-11-01	12:45:42	0.0000	 75
DATA	0000319	2023-11-01	12:45:42	0.0000	 76
DATA	0000320	2023-11-01	12:45:42	0.019698	197
DATA	0000321	2023-11-01	12:45:42	0.031857	189
DATA	0000322	2023-11-01	12:45:42	0.0000	 70
DATA	0000323	2023-11-01	12:45:42	0.0000	 71
DATA	0000324	2023-11-01	12:45:42	0.0000	 72
DATA	0000325	2023-11-01	12:45:42	0.016546	191
DATA	0000326	2023-11-01	12:45:42	0.0000	 74
DATA	0000327	2023-11-01	12:45:42	0.0000	 75
DATA	0000328	2023-11-01	12:45:42	0.0055135	239
DATA	0000329	2023-11-01	12:45:42	0.0028117	240
DATA	0000330	2023-11-01	12:45:42	0.0000	 69
DATA	0000331	2023-11-01	12:45:42	0.0000	 70
DATA	0000332	2023-11-01	12:45:42	0.030281	181
DATA	0000333	2023-11-01	12:45:42	0.0000	 72
DATA	0000334	2023-11-01	12:45:42	0.0000	 73
DATA	0000335	2023-11-01	12:45:42	0.0000	 74
DATA	0000336	2023-11-01	12:45:42	0.0000	 75
DATA	0000337	2023-11-01	12:45:42	0.0000	 76
DATA	0000338	2023-11-01	12:45:42	0.013844	193
DATA	0000339	2023-11-01	12:45:42	0.030956	197
DATA	0000340	2023-11-01	12:45:42	0.023301	175
DATA	0000341	2023-11-01	12:45:42	0.0070896	245
DATA	0000342	2023-11-01	12:45:42	0.027804	189
DATA	0000343	2023-11-01	12:45:42	0.012944	189
DATA	0000344	2023-11-01	12:45:42	0.029155	192
DATA	0000345	2023-11-01	12:45:42	0.0000	 75
DATA	0000346	2023-11-01	12:45:42	0.021049	188
DATA	0000347	2023-11-01	12:45:42	0.0000	 77
DATA	0000348	2023-11-01	12:45:42	0.025102	184
DATA	0000349	2023-11-01	12:45:42	0.033883	200
DATA	0000350	2023-11-01	12:45:42	0.018798	200
DATA	0000351	2023-11-01	12:45:42	0.0000	 72
DATA	0000352	2023-11-01	12:45:42	0.0000	 73
DATA	0000353	2023-11-01	12:45:42	0.025778	199
DATA	0000354	2023-11-01	12:45:42	0.0016859	248
DATA	0000355	2023-11-01	12:45:42	0.031857	196
DATA	0000356	2023-11-01	12:45:42	0.0000	 77
DATA	0000357	2023-11-01	12:45:42	0.031632	189
DATA	0000358	2023-11-01	12:45:42	0.0000	 79
